id	name	formula
IGPS	Indole-3-glycerol-phosphate synthase	2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
EX_crn_e	L-Carnitine exchange	crn_e --> 
EX_fe3_e	Fe3+ exchange	fe3_e <=> 
EX_glcn_e	D-Gluconate exchange	glcn_e --> 
EX_gln__L_e	L-Glutamine exchange	gln__L_e --> 
EX_glyc_e	Glycerol exchange	glyc_e --> 
EX_man_e	D-Mannose exchange	man_e --> 
EX_mn2_e	Mn2+ exchange	mn2_e <=> 
EX_rib__D_e	D-Ribose exchange	rib__D_e --> 
EX_sbt__D_e	D-Sorbitol exchange	sbt__D_e --> 
ECOAH6	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	3htdcoa_c <=> h2o_c + td2coa_c
ENO	Enolase	2pg_c <=> h2o_c + pep_c
FBA	Fructose-bisphosphate aldolase	fdp_c <=> dhap_c + g3p_c
MGSA	Methylglyoxal synthase	dhap_c --> mthgxl_c + pi_c
PPS	Phosphoenolpyruvate synthase	atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
PGI	Glucose-6-phosphate isomerase	g6p_c <=> f6p_c
PGK	Phosphoglycerate kinase	3pg_c + atp_c <=> 13dpg_c + adp_c
EDA	2-dehydro-3-deoxy-phosphogluconate aldolase	2ddg6p_c --> g3p_c + pyr_c
PGL	6-phosphogluconolactonase	6pgl_c + h2o_c --> 6pgc_c + h_c
RPE	Ribulose 5-phosphate 3-epimerase	ru5p__D_c <=> xu5p__D_c
TALA	Transaldolase	g3p_c + s7p_c <=> e4p_c + f6p_c
TKT1	Transketolase	r5p_c + xu5p__D_c <=> g3p_c + s7p_c
G6PDA	Glucosamine-6-phosphate deaminase	gam6p_c + h2o_c --> f6p_c + nh4_c
ALCD2x	Alcohol dehydrogenase (ethanol)	etoh_c + nad_c <=> acald_c + h_c + nadh_c
ALDD2y	Aldehyde dehydrogenase (acetaldehyde, NADP)	acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
RMI	L-rhamnose isomerase	rmn_c <=> rml_c
EX_ura_e	Uracil exchange	ura_e --> 
EX_val__L_e	L-Valine exchange	val__L_e --> 
EX_xan_e	Xanthine exchange	xan_e --> 
FMNAT	FMN adenylyltransferase	atp_c + fmn_c + h_c --> fad_c + ppi_c
NADDP	NAD diphosphatase	h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c
NMNAT	Nicotinamide-nucleotide adenylyltransferase	atp_c + h_c + nmn_c --> nad_c + ppi_c
HMPK1	Hydroxymethylpyrimidine kinase (ATP)	4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c
NDPK6	Nucleoside-diphosphate kinase (ATP:dUDP)	atp_c + dudp_c <=> adp_c + dutp_c
NDPK8	Nucleoside-diphosphate kinase (ATP:dADP)	atp_c + dadp_c <=> adp_c + datp_c
PYNP2r	Pyrimidine-nucleoside phosphorylase (uracil)	pi_c + uri_c <=> r1p_c + ura_c
DURIPP	Deoxyuridine phosphorylase	duri_c + pi_c <=> 2dr1p_c + ura_c
PTRCTA	Putrescine Transaminase	akg_c + ptrc_c --> 4abutn_c + glu__L_c
CYSDS	Cysteine Desulfhydrase	cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
TRPAS2	Tryptophanase (L-tryptophan)	h2o_c + trp__L_c <=> indole_c + nh4_c + pyr_c
NDP3	Nucleoside diphosphatase  GDP 	gdp_c + h2o_c --> gmp_c + h_c + pi_c
CDPPH	CDP phosphohydrolase	cdp_c + h2o_c --> cmp_c + h_c + pi_c
NDP7	Nucleoside diphosphatase  UDP 	h2o_c + udp_c --> h_c + pi_c + ump_c
EX_co2_e	CO2 exchange	co2_e <=> 
PMDPHT	Pyrimidine phosphatase	5aprbu_c + h2o_c --> 4r5au_c + pi_c
ILETA	Isoleucine transaminase	akg_c + ile__L_c <=> 3mop_c + glu__L_c
VALTA	Valine transaminase	akg_c + val__L_c <=> 3mob_c + glu__L_c
ORPT	Orotate phosphoribosyltransferase	orot5p_c + ppi_c <=> orot_c + prpp_c
RBFSa	Riboflavin synthase	4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
DHAD2	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	23dhmp_c --> 3mop_c + h2o_c
G1PP	Glucose-1-phosphatase	g1p_c + h2o_c --> glc__D_c + pi_c
PFL	Pyruvate formate lyase	coa_c + pyr_c --> accoa_c + for_c
FRD2	Fumarate reductase	fum_c + mql8_c --> mqn8_c + succ_c
FRD3	Fumarate reductase	2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
POX	Pyruvate oxidase	h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c
PTAr	Phosphotransacetylase	accoa_c + pi_c <=> actp_c + coa_c
ACKr	Acetate kinase	ac_c + atp_c <=> actp_c + adp_c
EX_hxan_e	Hypoxanthine exchange	hxan_e --> 
EX_ile__L_e	L-Isoleucine exchange	ile__L_e --> 
EX_lac__L_e	L-Lactate exchange	lac__L_e --> 
EX_leu__L_e	L-Leucine exchange	leu__L_e --> 
EX_no3_e	Nitrate exchange	no3_e --> 
EX_orn_e	Ornithine exchange	orn_e --> 
EX_pro__L_e	L-Proline exchange	pro__L_e --> 
EX_pyr_e	Pyruvate exchange	pyr_e --> 
EX_succ_e	Succinate exchange	succ_e --> 
EX_thymd_e	Thymidine exchange	thymd_e --> 
EX_tyr__L_e	L-Tyrosine exchange	tyr__L_e --> 
MOAT	3-deoxy-D-manno-octulosonic acid transferase	ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c
UDCPDPS	Undecaprenyl diphosphate synthase	frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c
USHD	UDP-sugar hydrolase	h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c
LPADSS	Lipid A disaccaride synthase	lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c
TDSK	Tetraacyldisaccharide 4'kinase	atp_c + lipidAds_c --> adp_c + h_c + lipidA_c
EX_btn_e	Biotin exchange	btn_e --> 
EX_ptrc_e	Putrescine exchange	ptrc_e --> 
EX_spmd_e	Spermidine exchange	spmd_e --> 
EX_thym_e	Thymine exchange	thym_e --> 
EX_xtsn_e	Xanthosine exchange	xtsn_e --> 
NTPP1	Nucleoside triphosphate pyrophosphorylase (dgtp)	dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c
NTPP2	Nucleoside triphosphate pyrophosphorylase (gtp)	gtp_c + h2o_c --> gmp_c + h_c + ppi_c
NTPTP1	Nucleoside triphosphate tripolyhydrolase	dgtp_c + h2o_c --> dgsn_c + pppi_c
NTPTP2	Nucleoside triphosphate tripolyhydrolase	gtp_c + h2o_c --> gsn_c + pppi_c
IPMD	3-isopropylmalate dehydrogenase	3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
AIRC3	Phosphoribosylaminoimidazole carboxylase (mutase rxn)	5aizc_c <=> 5caiz_c
ADSL2r	Adenylosuccinate lyase	25aics_c <=> aicar_c + fum_c
EX_fe2_e	Fe2+ exchange	fe2_e <=> 
PUNP5	Purine-nucleoside phosphorylase (Inosine)	ins_c + pi_c <=> hxan_c + r1p_c
PUNP6	Purine-nucleoside phosphorylase (Deoxyinosine)	din_c + pi_c <=> 2dr1p_c + hxan_c
PUNP7	Purine-nucleoside phosphorylase (Xanthosine)	pi_c + xtsn_c <=> r1p_c + xan_c
RNDR1	Ribonucleoside-diphosphate reductase (ADP)	adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c
RNDR3	Ribonucleoside-diphosphate reductase (CDP)	cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c
RNDR4	Ribonucleoside-diphosphate reductase (UDP)	trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c
TMDS	Thymidylate synthase	dump_c + mlthf_c --> dhf_c + dtmp_c
TMDK1	Thymidine kinase (ATP:thymidine)	atp_c + thymd_c --> adp_c + dtmp_c + h_c
PPCDC	Phosphopantothenoylcysteine decarboxylase	4ppcys_c + h_c --> co2_c + pan4p_c
FTHFD	Formyltetrahydrofolate deformylase	10fthf_c + h2o_c --> for_c + h_c + thf_c
EX_glc__D_e	D-Glucose exchange	glc__D_e <=> 
EDD	6-phosphogluconate dehydratase	6pgc_c --> 2ddg6p_c + h2o_c
DHQTi	3-dehydroquinate dehydratase, irreversible	3dhq_c --> 3dhsk_c + h2o_c
PUNP1	Purine-nucleoside phosphorylase (Adenosine)	adn_c + pi_c <=> ade_c + r1p_c
PUNP2	Purine-nucleoside phosphorylase (Deoxyadenosine)	dad_2_c + pi_c <=> 2dr1p_c + ade_c
PUNP3	Purine-nucleoside phosphorylase (Guanosine)	gsn_c + pi_c <=> gua_c + r1p_c
LYSAM	Lysine 2,3-aminomutase	lys__L_c <=> 36dahx_c
DHAD1	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	23dhmb_c --> 3mob_c + h2o_c
IPPMIa	3-isopropylmalate dehydratase	3c2hmp_c <=> 2ippm_c + h2o_c
EX_alltn_e	Allantoin exchange	alltn_e --> 
G3PD7	Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8)	2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c
NADH9	NADH dehydrogenase (demethylmenaquinone-8 & 0 protons)	2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c
NADH10	NADH dehydrogenase (menaquinone-8 & 0 protons)	h_c + mqn8_c + nadh_c --> mql8_c + nad_c
MDH	Malate dehydrogenase	mal__L_c + nad_c <=> h_c + nadh_c + oaa_c
FUM	Fumarase	fum_c + h2o_c <=> mal__L_c
PYDXNK	Pyridoxine kinase	atp_c + pydxn_c --> adp_c + h_c + pdx5p_c
PYAM5PO	Pyridoxamine 5'-phosphate oxidase	h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c
OHPBAT	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase	glu__L_c + ohpb_c <=> akg_c + phthr_c
EX_dgsn_e	Deoxyguanosine exchange	dgsn_e --> 
EX_arab__L_e	L-Arabinose exchange	arab__L_e --> 
EX_fru_e	D-Fructose exchange	fru_e --> 
EX_gal_e	D-Galactose exchange	gal_e --> 
EX_xyl__D_e	D-Xylose exchange	xyl__D_e --> 
EX_duri_e	Deoxyuridine exchange	duri_e --> 
EX_for_e	Formate exchange	for_e --> 
EX_gly_e	Glycine exchange	gly_e --> 
EX_h2_e	H2 exchange	h2_e --> 
EX_lys__L_e	L-Lysine exchange	lys__L_e --> 
EX_ser__L_e	L-Serine exchange	ser__L_e --> 
EX_thm_e	Thiamin exchange	thm_e --> 
EX_trp__L_e	L-Tryptophan exchange	trp__L_e --> 
GLUTRR	Glutamyl-tRNA reductase	glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c
GLCS1	Glycogen synthase (ADPGlc)	adpglc_c --> adp_c + glycogen_c + h_c
GLCP	Glycogen phosphorylase	glycogen_c + pi_c --> g1p_c
EX_din_e	Deoxyinosine exchange	din_e --> 
EX_fmn_e	FMN exchange	fmn_e --> 
EX_gthox_e	Oxidized glutathione exchange	gthox_e --> 
HEMEOS	Heme O synthase	frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c
ADMDC	Adenosylmethionine decarboxylase	amet_c + h_c --> ametam_c + co2_c
AGMT	Agmatinase	agm_c + h2o_c --> ptrc_c + urea_c
ARGDC	Arginine decarboxylase	arg__L_c + h_c --> agm_c + co2_c
ARGSS	Argininosuccinate synthase	asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
AGPR	N-acetyl-g-glutamyl-phosphate reductase	acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c
SPMS	Spermidine synthase	ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c
G1SAT	Glutamate-1-semialdehyde aminotransferase	glu1sa_c <=> 5aop_c
KDOCT2	3-deoxy-manno-octulosonate cytidylyltransferase	ctp_c + kdo_c --> ckdo_c + ppi_c
OAADC	Oxaloacetate decarboxylase	h_c + oaa_c --> co2_c + pyr_c
MNNH	D-mannonate hydrolyase	mana_c --> 2ddglcn_c + h2o_c
ALTRH	Altronate hydrolase	altrn_c --> 2ddglcn_c + h2o_c
GUI1	Glucuronate isomerase (D-glucuronate)	glcur_c <=> fruur_c
PGAMT	Phosphoglucosamine mutase	gam1p_c <=> gam6p_c
UAGDP	UDP-N-acetylglucosamine diphosphorylase	acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c
UAGCVT	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	pep_c + uacgam_c --> pi_c + uaccg_c
GLUR	Glutamate racemase	glu__D_c <=> glu__L_c
UAG2E	UDP-N-acetylglucosamine 2-epimerase	uacgam_c <=> uacmam_c
EX_acald_e	Acetaldehyde exchange	acald_e --> 
EX_melib_e	Melibiose exchange	melib_e --> 
MACPD	Malonyl-ACP decarboxylase	h_c + malACP_c --> acACP_c + co2_c
DMQMT	3-Dimethylubiquinonol 3-methyltransferase	2omhmbl_c + amet_c --> ahcys_c + h_c + q8h2_c
ICHORS_copy1	Isochorismate synthase	chor_c --> ichor_c
EX_sucr_e	Sucrose exchange	sucr_e --> 
EX_tre_e	Trehalose exchange	tre_e --> 
EX_zn2_e	Zinc exchange	zn2_e <=> 
HACD5	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	3oddcoa_c + h_c + nadh_c <=> 3hddcoa_c + nad_c
DNMPPA	Dihydroneopterin monophosphate dephosphorylase	dhpmp_c + h2o_c --> dhnpt_c + pi_c
HPPK2	6-hydroxymethyl-dihydropterin pyrophosphokinase	6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c
PTPATi	Pantetheine-phosphate adenylyltransferase	atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c
HEX7	Hexokinase (D-fructose:ATP)	atp_c + fru_c --> adp_c + f6p_c + h_c
DXPRIi	1-deoxy-D-xylulose reductoisomerase	dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c
OPHBDC	Octaprenyl-hydroxybenzoate decarboxylase	3ophb_c + h_c --> 2oph_c + co2_c
OHPHM	2-octaprenyl-6-hydroxyphenol methylase	2ohph_c + amet_c --> 2omph_c + ahcys_c + h_c
GHMT2r	Glycine hydroxymethyltransferase, reversible	ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c
DHORD2	Dihydoorotic acid dehydrogenase (quinone8)	dhor__S_c + q8_c --> orot_c + q8h2_c
ADK4	Adentylate kinase (ITP)	amp_c + itp_c <=> adp_c + idp_c
INSK	Insosine kinase	atp_c + ins_c --> adp_c + h_c + imp_c
ABTA	4-aminobutyrate transaminase	4abut_c + akg_c --> glu__L_c + sucsal_c
SSALx	Succinate-semialdehyde dehydrogenase (NAD)	h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c
ASPT	L-aspartase	asp__L_c --> fum_c + nh4_c
SERD_L	L-serine deaminase	ser__L_c --> nh4_c + pyr_c
THRD	L-threonine dehydrogenase	nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c
HEX4	Hexokinase (D-mannose:ATP)	atp_c + man_c --> adp_c + h_c + man6p_c
KARA1	Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)	23dhmb_c + nadp_c <=> alac__S_c + h_c + nadph_c
KARA2	Ketol-acid reductoisomerase (2-Acetolactate)	2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c
ACCOAC	Acetyl-CoA carboxylase	accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c
NADK	NAD kinase	atp_c + nad_c --> adp_c + h_c + nadp_c
ICHORS_copy2	Isochorismate synthase	chor_c <=> ichor_c
SUCBZS	O-succinylbenzoate-CoA synthase	2shchc_c --> h2o_c + sucbz_c
DHBD	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c
ICHORT	Isochorismatase	h2o_c + ichor_c --> 23ddhb_c + pyr_c
RBK_L1	L-ribulokinase (L-ribulose)	atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c
RBP4E	L-ribulose-phosphate 4-epimerase	ru5p__L_c <=> xu5p__D_c
NTD2	5'-nucleotidase (UMP)	h2o_c + ump_c --> pi_c + uri_c
NTD4	5'-nucleotidase (CMP)	cmp_c + h2o_c --> cytd_c + pi_c
NTD5	5'-nucleotidase (dTMP)	dtmp_c + h2o_c --> pi_c + thymd_c
NTD6	5'-nucleotidase (dAMP)	damp_c + h2o_c --> dad_2_c + pi_c
LGTHL	Lactoylglutathione lyase	gthrd_c + mthgxl_c --> lgt__S_c
PYDXPP	Pyridoxal 5-phosphate phosphatase	h2o_c + pydx5p_c --> pi_c + pydx_c
PDXPP	Pyridoxine 5-phosphate phosphatase	h2o_c + pdx5p_c --> pi_c + pydxn_c
HACD6	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	3otdcoa_c + h_c + nadh_c <=> 3htdcoa_c + nad_c
ECOAH1	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	3hbcoa_c <=> b2coa_c + h2o_c
ECOAH2	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	3hhcoa_c <=> h2o_c + hx2coa_c
ECOAH3	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	3hocoa_c <=> h2o_c + oc2coa_c
UGLT	UDPglucose--hexose-1-phosphate uridylyltransferase	gal1p_c + udpg_c <=> g1p_c + udpgal_c
DXPS	1-deoxy-D-xylulose 5-phosphate synthase	g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c
CDPMEK	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c
MECDPS	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	2p4c2me_c --> 2mecdp_c + cmp_c
DDGLK	2-dehydro-3-deoxygluconokinase	2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c
XYLI2	Xylose isomerase	glc__D_c <=> fru_c
PMANM	Phosphomannomutase	man1p_c <=> man6p_c
ICL	Isocitrate lyase	icit_c --> glx_c + succ_c
GLYCL	Glycine Cleavage System	gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c
CMPN	CMP nucleosidase	cmp_c + h2o_c --> csn_c + r5p_c
HCYSMT	Homocysteine S-methyltransferase	amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
UDPG4E	UDPglucose 4-epimerase	udpg_c <=> udpgal_c
LACZ	B-galactosidase	h2o_c + lcts_c --> gal_c + glc__D_c
TRE6PH	Trehalose-6-phosphate hydrolase	h2o_c + tre6p_c --> g6p_c + glc__D_c
XYLI1	Xylose isomerase	xyl__D_c <=> xylu__D_c
PPC	Phosphoenolpyruvate carboxylase	co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c
ALDD4	Aldehyde dehydrogenase (butanal, NAD)	btal_c + h2o_c + nad_c --> but_c + 2.0 h_c + nadh_c
G3PT	Glycerol-3-phosphatase	glyc3p_c + h2o_c --> glyc_c + pi_c
CINNDO	Cinnamate dioxygenase	cinnm_c + h_c + nadh_c + o2_c --> cenchddd_c + nad_c
DHPPD	2,3-dihydroxyphenylpropionate dehydrogenase	cechddd_c + nad_c --> dhpppn_c + h_c + nadh_c
DHCIND	2,3-dihydroxycinnamate dehydrogenase	cenchddd_c + nad_c --> dhcinnm_c + h_c + nadh_c
CITL	Citrate lyase	cit_c --> ac_c + oaa_c
GOFUCR	GDP-4-oxo-L-fucose reductase	gdpofuc_c + h_c + nadph_c --> gdpfuc_c + nadp_c
PYDXK	Pyridoxal kinase	atp_c + pydx_c --> adp_c + h_c + pydx5p_c
GTPCII2	GTP cyclohydrolase II (25drapp)	gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 2.0 h_c + ppi_c
URIC	Uricase	2.0 h2o_c + o2_c + urate_c --> alltn_c + co2_c + h2o2_c
