Reaction_ID	Reaction_name	Subsystem	Reaction_formula	design_121	design_124	design_25	Jaccard
UHGADA	UDP-3-O-acetylglucosamine deacetylase	Lipopolysaccharide Biosynthesis / Recycling	u3aga_c + h2o_c  -> ac_c + u3hga_c 	0.00 / 0.01	0.00 / 0.01	0.00 / 1.59	0.01
UAGAAT	UDP-N-acetylglucosamine acyltransferase	Lipopolysaccharide Biosynthesis / Recycling	uacgam_c + 3hmrsACP_c  <=> u3aga_c + ACP_c 	0.00 / 0.01	0.00 / 0.01	0.00 / 1.59	0.01
IPPMIb	2-isopropylmalate hydratase	Valine, Leucine, and Isoleucine Metabolism	h2o_c + 2ippm_c  <=> 3c3hmp_c 	-6.51 / 0.00	-6.51 / 0.00	-0.11 / 0.00	0.02
IPPMIa	3-isopropylmalate dehydratase	Valine, Leucine, and Isoleucine Metabolism	3c2hmp_c  <=> h2o_c + 2ippm_c 	-6.51 / 0.00	-6.51 / 0.00	-0.11 / 0.00	0.02
IPPS	2-isopropylmalate synthase	Valine, Leucine, and Isoleucine Metabolism	accoa_c + 3mob_c + h2o_c  -> h_c + 3c3hmp_c + coa_c 	0.00 / 6.51	0.00 / 6.51	0.00 / 0.11	0.02
RPE	Ribulose 5-phosphate 3-epimerase	Pentose Phosphate Pathway	ru5p__D_c  <=> xu5p__D_c 	-9.26 / 18.51	-9.26 / 18.51	-2.02 / 0.00	0.07
TKT2	Transketolase	Pentose Phosphate Pathway	xu5p__D_c + e4p_c  <=> g3p_c + f6p_c 	-4.63 / 9.26	-4.63 / 9.26	-2.02 / 0.00	0.15
FLDR2	Flavodoxin reductase (NADPH)	Unassigned	2 flxso_c + nadph_c  -> h_c + 2 flxr_c + nadp_c 	0.00 / 76.28	0.00 / 76.28	0.00 / 12.15	0.16
MDH	Malate dehydrogenase	Citric Acid Cycle	nad_c + mal__L_c  <=> h_c + oaa_c + nadh_c 	-32.19 / 7.86	-29.19 / 1.28	-45.51 / 56.59	0.30
PFL	Pyruvate formate lyase	Pyruvate Metabolism	pyr_c + coa_c  -> accoa_c + for_c 	0.00 / 97.02	0.00 / 97.02	0.00 / 30.00	0.31
EX_for_e	Formate exchange	Extracellular exchange	for_e  -> 	0.00 / 97.02	0.00 / 97.02	0.00 / 35.05	0.36
FORtex	Formate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	for_e  <=> for_p 	-97.02 / 0.00	-97.02 / 0.00	-35.05 / 0.00	0.36
EX_lac__D_e	D-lactate exchange	Extracellular exchange	lac__D_e  -> 	0.00 / 30.00	0.00 / 30.00	0.00 / 11.72	0.39
D_LACtex	D-lactate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	lac__D_e  <=> lac__D_p 	-30.00 / 0.00	-30.00 / 0.00	-11.72 / 0.00	0.39
D_LACt2pp	D-lactate transport via proton symport (periplasm)	Transport, Inner Membrane	h_p + lac__D_p  <=> h_c + lac__D_c 	-30.00 / 0.00	-30.00 / 0.00	-11.72 / 0.00	0.39
MCITL2	Methylisocitrate lyase	Alternate Carbon Metabolism	micit_c  <=> succ_c + pyr_c 	-15.00 / 11.57	-15.00 / 11.57	0.00 / 13.76	0.40
MICITDr	2-methylisocitrate dehydratase	Alternate Carbon Metabolism	2mcacn_c + h2o_c  <=> micit_c 	-15.00 / 11.57	-15.00 / 11.57	0.00 / 13.76	0.40
EX_co2_e	CO2 exchange	Extracellular exchange	co2_e  <=> 	-48.51 / 30.00	-48.51 / 27.69	-7.15 / 27.39	0.44
GND	Phosphogluconate dehydrogenase	Pentose Phosphate Pathway	6pgc_c + nadp_c  -> ru5p__D_c + nadph_c + co2_c 	0.00 / 27.77	0.00 / 27.77	0.00 / 12.15	0.44
CO2tex	CO2 transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	co2_e  <=> co2_p 	-30.00 / 48.51	-27.69 / 48.51	-27.39 / 7.15	0.44
ASPT	L-aspartase	Alanine and Aspartate Metabolism	asp__L_c  -> nh4_c + fum_c 	0.00 / 25.71	0.00 / 27.51	0.00 / 56.59	0.45
PDH	Pyruvate dehydrogenase	Glycolysis/Gluconeogenesis	nad_c + pyr_c + coa_c  -> accoa_c + nadh_c + co2_c 	0.00 / 64.61	0.00 / 64.61	0.00 / 28.93	0.45
ASPTA	Aspartate transaminase	Alanine and Aspartate Metabolism	akg_c + asp__L_c  <=> glu__L_c + oaa_c 	-26.12 / 0.00	-27.51 / 0.00	-56.59 / 0.00	0.46
H2Otex	H2O transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	h2o_e  <=> h2o_p 	-34.62 / 48.51	-34.62 / 48.51	-32.25 / 7.15	0.47
EX_h2o_e	H2O exchange	Extracellular exchange	h2o_e  <=> 	-48.51 / 34.62	-48.51 / 34.62	-7.15 / 32.25	0.47
EX_h_e	H+ exchange	Extracellular exchange	h_e  <=> 	-5.29 / 117.77	-5.29 / 117.77	-3.91 / 55.72	0.48
ACALD	Acetaldehyde dehydrogenase (acetylating)	Pyruvate Metabolism	nad_c + coa_c + acald_c  <=> h_c + accoa_c + nadh_c 	-37.82 / 12.91	-37.82 / 11.43	-45.64 / 56.59	0.48
Htex	Proton transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	h_e  <=> h_p 	-117.77 / 5.29	-117.77 / 5.29	-55.72 / 3.91	0.48
CO2tpp	CO2 transporter via diffusion (periplasm)	Transport, Inner Membrane	co2_p  <=> co2_c 	-30.00 / 48.51	-27.69 / 48.51	-27.39 / 11.48	0.50
H2Otpp	H2O transport via diffusion (periplasm)	Transport, Inner Membrane	h2o_p  <=> h2o_c 	-36.67 / 48.51	-36.67 / 48.51	-35.58 / 7.15	0.50
EX_succ_e	Succinate exchange	Extracellular exchange	succ_e  -> 	-0.00 / 16.42	-0.00 / 25.71	0.00 / 13.19	0.51
SUCCtex	Succinate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	succ_e  <=> succ_p 	-16.42 / 0.00	-25.71 / 0.00	-13.19 / 0.00	0.51
THRA2	L-allo-Threonine Aldolase	Threonine and Lysine Metabolism	athr__L_c  -> gly_c + acald_c 	0.00 / 34.07	0.00 / 31.28	0.00 / 56.59	0.55
ATHRDHr	L-allo-threonine dehydrogenase	Threonine and Lysine Metabolism	nadp_c + athr__L_c  <=> h_c + 2aobut_c + nadph_c 	-34.07 / 0.00	-31.28 / 0.00	-56.59 / 0.00	0.55
PTAr	Phosphotransacetylase	Pyruvate Metabolism	accoa_c + pi_c  <=> actp_c + coa_c 	0.00 / 53.14	0.00 / 53.14	-20.64 / 41.89	0.57
ACKr	Acetate kinase	Pyruvate Metabolism	ac_c + atp_c  <=> actp_c + adp_c 	-53.14 / 0.00	-53.14 / 0.00	-41.89 / 20.64	0.57
THRD_L	L-threonine deaminase	Valine, Leucine, and Isoleucine Metabolism	thr__L_c  -> nh4_c + 2obut_c 	0.00 / 5.00	0.00 / 5.00	0.00 / 8.84	0.57
OBTFL	2-Oxobutanoate formate lyase	Alternate Carbon Metabolism	2obut_c + coa_c  -> ppcoa_c + for_c 	0.00 / 5.00	0.00 / 5.00	0.00 / 8.84	0.57
EX_ac_e	Acetate exchange	Extracellular exchange	ac_e  -> 	0.00 / 39.26	0.00 / 39.26	0.00 / 23.07	0.59
MDH3	Malate dehydrogenase (menaquinone 8 as acceptor)	Citric Acid Cycle	mal__L_c + mqn8_c  -> mql8_c + oaa_c 	0.00 / 15.39	0.00 / 12.47	0.00 / 21.04	0.59
ACtex	Acetate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	ac_e  <=> ac_p 	-39.26 / 0.00	-39.26 / 0.00	-23.07 / 0.00	0.59
GLYAT	Glycine C-acetyltransferase	Glycine and Serine Metabolism	accoa_c + gly_c  <=> 2aobut_c + coa_c 	-9.26 / 34.07	-9.26 / 31.28	-8.24 / 56.59	0.60
ME1	Malic enzyme (NAD)	Anaplerotic Reactions	nad_c + mal__L_c  -> pyr_c + nadh_c + co2_c 	0.00 / 21.51	0.00 / 15.37	0.00 / 25.01	0.61
GLUDy	Glutamate dehydrogenase (NADP)	Glutamate Metabolism	nadp_c + glu__L_c + h2o_c  <=> h_c + akg_c + nh4_c + nadph_c 	-31.54 / 23.14	-34.45 / 23.14	-56.59 / 28.30	0.64
G3PD7	Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8)	Oxidative Phosphorylation	glyc3p_c + 2dmmq8_c  -> dhap_c + 2dmmql8_c 	0.00 / 12.47	0.00 / 12.47	0.00 / 18.62	0.67
G3PD6	Glycerol-3-phosphate dehydrogenase (menaquinone-8)	Oxidative Phosphorylation	glyc3p_c + mqn8_c  -> dhap_c + mql8_c 	0.00 / 12.47	0.00 / 12.47	0.00 / 18.62	0.67
ME2	Malic enzyme (NADP)	Anaplerotic Reactions	mal__L_c + nadp_c  -> nadph_c + pyr_c + co2_c 	0.00 / 32.20	0.00 / 21.51	0.00 / 25.01	0.67
ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	Oxidative Phosphorylation	4 h_p + adp_c + pi_c  <=> 3 h_c + atp_c + h2o_c 	-53.14 / 9.86	-53.14 / 9.86	-36.27 / 16.05	0.67
NADPHQR3	NADPH Quinone Reductase (Menaquinone-8)	Oxidative Phosphorylation	h_c + mqn8_c + nadph_c  -> nadp_c + mql8_c 	0.00 / 12.47	0.00 / 12.47	0.00 / 18.62	0.67
NADPHQR4	NADPH Quinone Reductase (2-Demethylmenaquinone-8)	Oxidative Phosphorylation	h_c + 2dmmq8_c + nadph_c  -> nadp_c + 2dmmql8_c 	0.00 / 12.47	0.00 / 12.47	0.00 / 18.62	0.67
GLYCLTDy	Glycolate dehydrogenase (NADP)	Glyoxylate Metabolism	h_c + glx_c + nadph_c  -> glyclt_c + nadp_c 	0.00 / 12.47	0.00 / 12.47	0.00 / 18.62	0.67
PGL	6-phosphogluconolactonase	Pentose Phosphate Pathway	h2o_c + 6pgl_c  -> h_c + 6pgc_c 	0.00 / 30.64	0.00 / 30.64	0.00 / 20.91	0.68
G6PDH2r	Glucose 6-phosphate dehydrogenase	Pentose Phosphate Pathway	nadp_c + g6p_c  <=> h_c + 6pgl_c + nadph_c 	0.00 / 30.64	0.00 / 30.64	0.00 / 20.91	0.68
PPC	Phosphoenolpyruvate carboxylase	Anaplerotic Reactions	pep_c + h2o_c + co2_c  -> h_c + pi_c + oaa_c 	0.00 / 34.39	0.00 / 29.11	0.00 / 41.89	0.69
GLYCTO3	Glycolate oxidase	Alternate Carbon Metabolism	glyclt_c + mqn8_c  -> glx_c + mql8_c 	0.00 / 15.39	0.00 / 15.39	0.00 / 21.04	0.73
GLYCTO4	Glycolate oxidase	Alternate Carbon Metabolism	glyclt_c + 2dmmq8_c  -> glx_c + 2dmmql8_c 	0.00 / 15.39	0.00 / 15.39	0.00 / 21.04	0.73
TALA	Transaldolase	Pentose Phosphate Pathway	g3p_c + s7p_c  <=> e4p_c + f6p_c 	-38.14 / 9.26	-38.14 / 9.26	-43.30 / 0.00	0.73
NADH9	NADH dehydrogenase (demethylmenaquinone-8 & 0 protons)	Oxidative Phosphorylation	h_c + 2dmmq8_c + nadh_c  -> nad_c + 2dmmql8_c 	0.00 / 15.39	0.00 / 15.39	0.00 / 21.04	0.73
NADH10	NADH dehydrogenase (menaquinone-8 & 0 protons)	Oxidative Phosphorylation	h_c + mqn8_c + nadh_c  -> nad_c + mql8_c 	0.00 / 15.39	0.00 / 15.39	0.00 / 21.04	0.73
GLYCLTDx	Glycolate dehydrogenase (NAD)	Glyoxylate Metabolism	h_c + glx_c + nadh_c  -> glyclt_c + nad_c 	0.00 / 15.39	0.00 / 15.39	0.00 / 21.04	0.73
EAR80y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)	Cell Envelope Biosynthesis	h_c + toct2eACP_c + nadph_c  -> ocACP_c + nadp_c 	0.00 / 3.82	0.00 / 3.82	0.00 / 5.26	0.73
EAR40y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0)	Cell Envelope Biosynthesis	h_c + nadph_c + but2eACP_c  -> butACP_c + nadp_c 	0.00 / 3.82	0.00 / 3.82	0.00 / 5.26	0.73
EAR60y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0)	Cell Envelope Biosynthesis	h_c + thex2eACP_c + nadph_c  -> hexACP_c + nadp_c 	0.00 / 3.82	0.00 / 3.82	0.00 / 5.26	0.73
GLYK	Glycerol kinase	Alternate Carbon Metabolism	atp_c + glyc_c  -> h_c + glyc3p_c + adp_c 	0.00 / 38.14	0.00 / 38.14	0.00 / 28.30	0.74
ALCD19	Alcohol dehydrogenase (glycerol)	Alternate Carbon Metabolism	h_c + glyald_c + nadh_c  <=> nad_c + glyc_c 	0.00 / 38.14	0.00 / 38.14	0.00 / 28.30	0.74
THD2pp	NAD(P) transhydrogenase (periplasm)	Oxidative Phosphorylation	2 h_p + nadp_c + nadh_c  -> 2 h_c + nad_c + nadph_c 	0.00 / 76.28	0.00 / 76.28	0.00 / 56.59	0.74
GAPP	Glyceraldehyde-3-phosphate phosphatase	Alternate Carbon Metabolism	g3p_c + h2o_c  -> glyald_c + pi_c 	0.00 / 38.14	0.00 / 38.14	0.00 / 28.30	0.74
KAS14	Beta-ketoacyl-ACP synthase	Membrane Lipid Metabolism	h_c + acACP_c + malACP_c  -> actACP_c + co2_c + ACP_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
HSST	Homoserine O-succinyltransferase	Methionine Metabolism	hom__L_c + succoa_c  -> suchms_c + coa_c 	0.00 / 0.03	0.00 / 0.03	0.00 / 0.04	0.75
G3PD2	Glycerol-3-phosphate dehydrogenase (NADP)	Alternate Carbon Metabolism	glyc3p_c + nadp_c  <=> h_c + dhap_c + nadph_c 	-15.43 / 38.14	-15.43 / 38.14	-20.43 / 28.30	0.75
CYSTL	Cystathionine b-lyase	Methionine Metabolism	cyst__L_c + h2o_c  -> nh4_c + pyr_c + hcys__L_c 	0.00 / 0.03	0.00 / 0.03	0.00 / 0.04	0.75
SHSL1	O-succinylhomoserine lyase (L-cysteine)	Methionine Metabolism	cys__L_c + suchms_c  -> h_c + cyst__L_c + succ_c 	0.00 / 0.03	0.00 / 0.03	0.00 / 0.04	0.75
METS	Methionine synthase	Methionine Metabolism	5mthf_c + hcys__L_c  -> h_c + met__L_c + thf_c 	0.00 / 0.03	0.00 / 0.03	0.00 / 0.04	0.75
MTHFR2	5,10-methylenetetrahydrofolate reductase (NADH)	Folate Metabolism	2 h_c + mlthf_c + nadh_c  -> nad_c + 5mthf_c 	0.00 / 0.03	0.00 / 0.03	0.00 / 0.04	0.75
KAS15	Beta-ketoacyl-ACP synthase (2)	Membrane Lipid Metabolism	h_c + accoa_c + malACP_c  -> actACP_c + coa_c + co2_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
3HAD80	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	Cell Envelope Biosynthesis	3hoctACP_c  -> toct2eACP_c + h2o_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
3HAD40	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	Cell Envelope Biosynthesis	3haACP_c  -> h2o_c + but2eACP_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
3OAS60	3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	Cell Envelope Biosynthesis	h_c + butACP_c + malACP_c  -> 3ohexACP_c + co2_c + ACP_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
3OAR60	3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	Cell Envelope Biosynthesis	3ohexACP_c + h_c + nadph_c  <=> nadp_c + 3hhexACP_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
3OAR80	3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	Cell Envelope Biosynthesis	h_c + nadph_c + 3ooctACP_c  <=> 3hoctACP_c + nadp_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
3OAS80	3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)	Cell Envelope Biosynthesis	h_c + hexACP_c + malACP_c  -> co2_c + 3ooctACP_c + ACP_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
3OAR40	3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	Cell Envelope Biosynthesis	h_c + actACP_c + nadph_c  <=> nadp_c + 3haACP_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
3HAD60	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	Cell Envelope Biosynthesis	3hhexACP_c  -> thex2eACP_c + h2o_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
EAR40x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0)	Cell Envelope Biosynthesis	h_c + but2eACP_c + nadh_c  -> nad_c + butACP_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
EAR60x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0)	Cell Envelope Biosynthesis	h_c + thex2eACP_c + nadh_c  -> nad_c + hexACP_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
EAR80x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)	Cell Envelope Biosynthesis	h_c + toct2eACP_c + nadh_c  -> nad_c + ocACP_c 	0.00 / 4.21	0.00 / 4.21	0.00 / 5.65	0.75
RPI	Ribose-5-phosphate isomerase	Pentose Phosphate Pathway	r5p_c  <=> ru5p__D_c 	-11.57 / 0.00	-9.26 / 0.00	-12.15 / 0.00	0.76
GHMT2r	Glycine hydroxymethyltransferase, reversible	Glycine and Serine Metabolism	ser__L_c + thf_c  <=> mlthf_c + h2o_c + gly_c 	-9.26 / 7.50	-9.26 / 7.50	-7.21 / 5.66	0.77
ABTA	4-aminobutyrate transaminase	Arginine and Proline Metabolism	akg_c + 4abut_c  -> glu__L_c + sucsal_c 	0.00 / 7.41	0.00 / 7.41	0.00 / 5.74	0.77
GPDDA2	Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)	Glycerophospholipid Metabolism	g3pe_c + h2o_c  -> h_c + glyc3p_c + etha_c 	0.00 / 2.01	0.00 / 2.01	0.00 / 2.61	0.77
ETHAAL	Ethanolamine ammonia-lyase	Cell Envelope Biosynthesis	etha_c  -> nh4_c + acald_c 	0.00 / 2.01	0.00 / 2.01	0.00 / 2.61	0.77
GLUDC	Glutamate Decarboxylase	Glutamate Metabolism	h_c + glu__L_c  -> 4abut_c + co2_c 	0.00 / 7.41	0.00 / 7.41	0.00 / 5.74	0.77
SSALy	Succinate-semialdehyde dehydrogenase (NADP)	Arginine and Proline Metabolism	nadp_c + h2o_c + sucsal_c  -> 2 h_c + succ_c + nadph_c 	0.00 / 7.41	0.00 / 7.41	0.00 / 5.74	0.77
LPLIPAL2E140	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:0)	Glycerophospholipid Metabolism	2agpe140_c + h2o_c  -> h_c + ttdca_c + g3pe_c 	0.00 / 2.01	0.00 / 2.01	0.00 / 2.61	0.77
LPLIPAL2E180	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:0)	Glycerophospholipid Metabolism	h2o_c + 2agpe180_c  -> h_c + ocdca_c + g3pe_c 	0.00 / 2.01	0.00 / 2.01	0.00 / 2.61	0.77
LPLIPAL2E141	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)	Glycerophospholipid Metabolism	h2o_c + 2agpe141_c  -> h_c + g3pe_c + ttdcea_c 	0.00 / 2.01	0.00 / 2.01	0.00 / 2.61	0.77
LPLIPAL2E161	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)	Glycerophospholipid Metabolism	h2o_c + 2agpe161_c  -> h_c + hdcea_c + g3pe_c 	0.00 / 2.01	0.00 / 2.01	0.00 / 2.61	0.77
LPLIPAL2E181	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1)	Glycerophospholipid Metabolism	h2o_c + 2agpe181_c  -> h_c + ocdcea_c + g3pe_c 	0.00 / 2.01	0.00 / 2.01	0.00 / 2.61	0.77
LPLIPAL2E160	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)	Glycerophospholipid Metabolism	2agpe160_c + h2o_c  -> h_c + g3pe_c + hdca_c 	0.00 / 2.01	0.00 / 2.01	0.00 / 2.61	0.77
LPLIPAL2E120	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)	Glycerophospholipid Metabolism	2agpe120_c + h2o_c  -> h_c + g3pe_c + ddca_c 	0.00 / 2.01	0.00 / 2.01	0.00 / 2.61	0.77
GPDDA2pp	Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)	Glycerophospholipid Metabolism	h2o_p + g3pe_p  -> h_p + glyc3p_p + etha_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
G3PEabcpp	Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm)	Transport, Inner Membrane	g3pe_p + atp_c + h2o_c  -> h_c + adp_c + pi_c + g3pe_c 	0.00 / 1.60	0.00 / 1.60	0.00 / 2.05	0.78
LPLIPAL1E141pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpe141_p  -> h_p + g3pe_p + ttdcea_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
LPLIPAL1E160pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpe160_p  -> hdca_p + h_p + g3pe_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
LPLIPAL1E180pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpe180_p  -> h_p + g3pe_p + ocdca_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
LPLIPAL1E181pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpe181_p  -> ocdcea_p + h_p + g3pe_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
PLIPA2E140pp	Phospholipase A2 (phosphatidylethanolamine, n-C14:0) (periplasm)	Glycerophospholipid Metabolism	pe140_p + h2o_p  -> h_p + ttdca_p + 1agpe140_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
PLIPA2E160pp	Phospholipase A2 (phosphatidylethanolamine, n-C16:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pe160_p  -> hdca_p + h_p + 1agpe160_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
PLIPA2E141pp	Phospholipase A2 (phosphatidylethanolamine, n-C14:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pe141_p  -> h_p + ttdcea_p + 1agpe141_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
PLIPA2E181pp	Phospholipase A2 (phosphatidylethanolamine, n-C18:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pe181_p  -> ocdcea_p + h_p + 1agpe181_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
AGPAT160	1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0)	Glycerophospholipid Metabolism	1hdecg3p_c + palmACP_c  -> pa160_c + ACP_c 	0.00 / 3.21	0.00 / 3.21	0.00 / 4.09	0.78
LPLIPAL1E140pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpe140_p  -> h_p + g3pe_p + ttdca_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
LPLIPAL1E161pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpe161_p  -> h_p + g3pe_p + hdcea_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
AGPAT180	1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0)	Glycerophospholipid Metabolism	ocdcaACP_c + 1odecg3p_c  -> pa180_c + ACP_c 	0.00 / 3.21	0.00 / 3.21	0.00 / 4.10	0.78
PLIPA2E120pp	Phospholipase A2 (phosphatidylethanolamine, n-C12:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pe120_p  -> h_p + 1agpe120_p + ddca_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
LPLIPAL1E120pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C12:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + 1agpe120_p  -> h_p + g3pe_p + ddca_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
